timestamp,can_id,dlc,payload_hex,label,attack_type,attack_id,Wheel_FL,Wheel_FR,Wheel_RL,Wheel_RR,Door_FL,Door_FR,Door_RL,Door_RR,TrunkStatus,MirrorStatus,Checksum_416,LowBeam,HighBeam,Reverse,LightOff,Brake,RightBlinker,LeftBlinker,Fog,Interior,Special1,Special2,VehicleSpeed,MovingForward,MovingReverse,BrakePressed,Brake_active,Damping_rate_full_throttle,Damping_rate_zero_throttle_clutch_engaged,Damping_rate_zero_throttle_clutch_disengaged,HandbrakeActive,Checksum,SteeringPosition,FrontWheel,BackWheel,SteeringWheelFL,SteeringWheelFR,SteeringWheelBL,SteeringWheelBR,ManualGear,AutoGear,GearSwitchTime,Ratio,DownRatio,UpRatio,GearState,GearTar
1762412578.6176023,0x1a0,8,081000f02030025a,benign,,,,,,,,,,,,,90.0,,,,,,,,,,,,8.0,1.0,0.0,0.0,0.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412578.6191778,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412578.7363584,0xc4,8,28151b151b000088,benign,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,0.4,21.0,27.0,21.0,27.0,0.0,0.0,,,,,,,,
1762412578.743165,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412578.8196688,0xce,8,b800b800b800b800,benign,,,11.5,11.5,11.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412578.8312085,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412578.8462036,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412578.8492646,0x1a0,8,0c1000f02030025e,benign,,,,,,,,,,,,,94.0,,,,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412578.8508728,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412578.9489815,0xc4,8,1e11141114000068,benign,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,0.3,17.0,20.0,17.0,20.0,0.0,0.0,,,,,,,,
1762412578.9505715,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412578.99639,0xce,8,ea00ea00ea00ea00,benign,,,14.625,14.625,14.625,14.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.0054257,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.024257,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.0278862,0x1a0,8,0f1000f020300261,benign,,,,,,,,,,,,,97.0,,,,,,,,,,,,15.0,1.0,0.0,0.0,0.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412579.0293891,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412579.1189678,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.119413,0xc4,8,140b0d0b0d000044,benign,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,0.2,11.0,13.0,11.0,13.0,0.0,0.0,,,,,,,,
1762412579.1256914,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412579.1650918,0xce,8,1601160116011601,benign,,,17.375,17.375,17.375,17.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.1684418,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.1890998,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.1920817,0x1a0,8,111000f020300263,benign,,,,,,,,,,,,,99.0,,,,,,,,,,,,17.0,1.0,0.0,0.0,0.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412579.1934206,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412579.2675862,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.285489,0xc4,8,0a06060606000022,benign,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,0.1,6.0,6.0,6.0,6.0,0.0,0.0,,,,,,,,
1762412579.290288,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412579.328801,0xce,8,3401340134013401,benign,,,19.25,19.25,19.25,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.333954,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.35993,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.3677337,0x1a0,8,130032f120300288,benign,,,,,,,,,,,,,136.0,,,,,,,,,,,,19.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412579.3694434,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412579.4449873,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.4605944,0xc4,8,0000000000000000,benign,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1762412579.4628956,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412579.495711,0xce,8,2101210121012101,benign,,,18.0625,18.0625,18.0625,18.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.5037825,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.5167005,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.5203035,0x1a0,8,120032f120300287,benign,,,,,,,,,,,,,135.0,,,,,,,,,,,,18.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412579.522247,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412579.6137192,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.6150522,0xc4,8,f6fafafafa0000de,benign,,,,,,,,,,,,,222.0,,,,,,,,,,,,,,,,,,,,,,-0.1,-6.0,-6.0,-6.0,-6.0,0.0,0.0,,,,,,,,
1762412579.6188674,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412579.648556,0xce,8,f300f300f300f300,benign,,,15.1875,15.1875,15.1875,15.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.6583362,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.6722612,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.6760457,0x1a0,8,0f0032f120300284,benign,,,,,,,,,,,,,132.0,,,,,,,,,,,,15.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412579.677702,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412579.73848,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.7694678,0xc4,8,fcfefefefe0000f4,benign,,,,,,,,,,,,,244.0,,,,,,,,,,,,,,,,,,,,,,-0.04,-2.0,-2.0,-2.0,-2.0,0.0,0.0,,,,,,,,
1762412579.7720575,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412579.801221,0xce,8,ce00ce00ce00ce00,benign,,,12.875,12.875,12.875,12.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.814475,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.8258252,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.829982,0x1a0,8,0d0032f120300282,benign,,,,,,,,,,,,,130.0,,,,,,,,,,,,13.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412579.8314435,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412579.90492,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412579.9886506,0xc4,8,fbfdfdfdfd0000ef,benign,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,-0.05,-3.0,-3.0,-3.0,-3.0,0.0,0.0,,,,,,,,
1762412580.0194526,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412580.043568,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.0964856,0xce,8,8600860086008600,benign,,,8.375,8.375,8.375,8.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.113927,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.1252415,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.131676,0x1a0,8,080032f12030027d,benign,,,,,,,,,,,,,125.0,,,,,,,,,,,,8.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412580.133314,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412580.2016351,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.2364278,0xc4,8,ff000000000000ff,benign,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1762412580.240883,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412580.2929037,0xce,8,3100310031003100,benign,,,3.0625,3.0625,3.0625,3.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.2958937,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.3055766,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.3097842,0x1a0,8,030032f120300278,benign,,,,,,,,,,,,,120.0,,,,,,,,,,,,3.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412580.31163,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412580.365132,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.414326,0xc4,8,fafcfcfbfc0000e9,benign,,,,,,,,,,,,,233.0,,,,,,,,,,,,,,,,,,,,,,-0.06,-4.0,-4.0,-5.0,-4.0,0.0,0.0,,,,,,,,
1762412580.4196746,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412580.472315,0xce,8,0000000000000000,benign,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.4791615,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.4956594,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.4998045,0x1a0,8,000032f120300275,benign,,,,,,,,,,,,,117.0,,,,,,,,,,,,0.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412580.5057242,0x24b,8,550801010000000f,attack,spoof,A1762412579_7716,,,,,1.0,1.0,1.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.506832,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412580.5989225,0xc4,8,f9fbfbfbfb0000e5,benign,,,,,,,,,,,,,229.0,,,,,,,,,,,,,,,,,,,,,,-0.07,-5.0,-5.0,-5.0,-5.0,0.0,0.0,,,,,,,,
1762412580.601345,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412580.6326108,0xce,8,0000000000000000,benign,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412605.9585176,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412605.968434,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412605.972548,0x1a0,8,000032f120300275,benign,,,,,,,,,,,,,117.0,,,,,,,,,,,,0.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412605.9744384,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412606.0686707,0xc4,8,f9fbfbfbfb0000e5,benign,,,,,,,,,,,,,229.0,,,,,,,,,,,,,,,,,,,,,,-0.07,-5.0,-5.0,-5.0,-5.0,0.0,0.0,,,,,,,,
1762412606.0731618,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412606.108498,0xce,8,0000000000000000,benign,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412606.1160023,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412606.128534,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412606.132126,0x1a0,8,000032f120300275,benign,,,,,,,,,,,,,117.0,,,,,,,,,,,,0.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412606.133764,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1762412580.9185846,0xc4,8,f9fbfbfbfb0000e5,benign,,,,,,,,,,,,,229.0,,,,,,,,,,,,,,,,,,,,,,-0.07,-5.0,-5.0,-5.0,-5.0,0.0,0.0,,,,,,,,
1762412580.922576,0xba,8,003264324101000a,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.5,1.0,0.5,0.65,1.0,
1762412580.952157,0xce,8,0000000000000000,benign,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.9623165,0x24b,8,0008000000000000,benign,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.9752953,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762412580.978899,0x1a0,8,000032f120300275,benign,,,,,,,,,,,,,117.0,,,,,,,,,,,,0.0,0.0,0.0,0.5,1.0,0.15,2.0,0.35000000000000003,,,,,,,,,,,,,,,,,
1762412580.9802458,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
